score_qstamp,qstamp,measure,beat,729210_tstamp,484064_tstamp,736779_tstamp
0.5,0.5,1,1.5,2.94,0.62,3.8
1.0,1.0,1,2.0,3.6,1.68,4.92
1.5,1.5,1,2.5,4.22,2.38,5.98
2.0,2.0,1,3.0,4.8,3.48,7.26
2.5,2.5,1,3.5,5.38,4.1,8.34
3.0,3.0,1,4.0,6.1,4.94,9.64
3.5,3.5,1,4.5,6.6,5.96,10.98
4.0,4.0,2,1.0,7.14,7.12,11.52
5.0,5.0,2,2.0,8.54,9.02,14.74
6.0,6.0,2,3.0,9.86,10.06,18.06
7.0,7.0,2,4.0,11.18,12.62,21.84
7.5,7.5,2,4.5,11.8,13.24,23.9
8.0,8.0,3,1.0,12.3,13.98,27.88
9.0,9.0,3,2.0,13.3,16.6,28.88
10.0,10.0,3,3.0,14.64,17.64,31.66
11.0,11.0,3,4.0,15.8,19.26,34.74
12.0,12.0,4,1.0,16.86,20.82,35.78
13.0,13.0,4,2.0,17.94,21.98,37.64
14.0,14.0,4,3.0,19.0,23.08,39.2
15.0,15.0,4,4.0,20.02,24.34,41.72
15.5,15.5,4,4.5,20.58,24.92,42.32
16.0,16.0,5,1.0,21.08,25.58,43.04
17.0,17.0,5,2.0,22.06,27.0,44.78
18.0,18.0,5,3.0,23.06,28.24,46.08
19.0,19.0,5,4.0,24.12,29.7,47.82
19.5,19.5,5,4.5,24.64,30.42,48.82
20.0,20.0,6,1.0,25.2,31.36,49.7
21.0,21.0,6,2.0,26.32,32.5,51.48
21.5,21.5,6,2.5,26.86,33.16,52.08
22.0,22.0,6,3.0,27.36,33.66,52.76
22.5,22.5,6,3.5,27.98,34.64,53.9
23.0,23.0,6,4.0,28.72,35.26,54.94
23.5,23.5,6,4.5,29.22,35.96,55.84
24.0,24.0,7,1.0,29.96,36.62,56.8
24.5,24.5,7,1.5,30.54,37.28,57.44
25.0,25.0,7,2.0,31.06,37.78,58.16
25.5,25.5,7,2.5,31.56,38.48,59.3
26.0,26.0,7,3.0,32.06,39.2,60.4
26.5,26.5,7,3.5,32.62,39.86,61.04
27.0,27.0,7,4.0,33.3,40.86,61.84
27.5,27.5,7,4.5,33.84,41.36,62.86
28.0,28.0,8,1.0,34.58,41.86,63.46
29.0,29.0,8,2.0,35.74,43.72,66.84
30.0,30.0,8,3.0,36.82,44.72,67.96
