qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G2,G1
1.0,0.2083,2,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
2.0,0.4167,2,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-3,E-2
3.0,0.625,2,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G2
4.0,0.8333,3,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C3
6.0,1.25,3,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,E-3
7.0,1.4583,4,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D3
9.0,1.875,4,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,F#2
10.0,2.0833,5,1.0,r,r,r,r,r,r,r,r,G3,G3,r,r,r,r,r,r,G3,G2
13.0,2.7083,6,1.0,r,r,r,r,r,r,r,r,G3,G3,r,r,r,G4,F4,D4,G3,G2
15.0,3.125,6,3.0,r,r,r,r,r,r,r,r,G3,G3,r,r,r,B4,F4,D4,G3,G2
16.0,3.3333,7,1.0,r,r,r,r,r,r,C4,C4,G3,G3,r,r,r,C5,E-4,C4,C3,C2
18.0,3.75,7,3.0,r,r,r,r,r,r,D4,B3,G3,G3,r,r,r,D5,B4,D4,C3,C2
19.0,3.9583,8,1.0,r,r,r,r,F5,D5,F4,D4,G3,G3,r,r,r,F5,D5,F4,C3,C2
21.0,4.9583,8,3.0,r,r,r,r,E-5,C5,E-4,C4,G3,G3,r,r,r,E-5,C5,E-4,C3,C2
22.0,5.4583,9,1.0,r,r,r,r,D5,B4,D4,B3,G3,G3,r,r,r,D5,B4,D4,G2,G1
24.0,5.875,9,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G2,G1
25.0,6.0833,10,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
26.0,6.2917,10,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-3,E-2
27.0,6.5,10,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G2
28.0,6.7083,11,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C3
30.0,7.125,11,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,E-3
31.0,7.3333,12,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D3
33.0,7.75,12,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,F#2
34.0,7.9583,13,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G2
36.0,8.375,13,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#3,C#2
37.0,8.5833,14,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,D2
40.0,9.2083,15,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,D2
42.0,9.625,15,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
43.0,9.8333,16,1.0,G5,r,r,r,r,r,r,r,r,r,r,r,r,G4,F4,D4,B2,B1
45.0,10.25,16,3.0,B5,r,r,r,r,r,r,r,r,r,r,r,r,B4,F4,D4,G2,G1
46.0,10.4583,17,1.0,C6,r,r,r,C5,r,C4,r,r,r,r,r,r,C5,E-4,C4,C3,C2
48.0,10.875,17,3.0,D6,r,r,r,D5,r,D4,r,r,r,r,r,r,D5,D4,G3,B2,B1
49.0,11.0833,18,1.0,F6,r,r,r,F5,D5,F4,D4,r,r,r,r,r,F5,D4,G3,C3,C2
51.0,12.0833,18,3.0,E-6,r,r,r,E-5,C5,E-4,C4,r,r,r,r,r,E-5,C4,A3,F#2,F#1
52.0,12.5833,19,1.0,D6,r,r,r,D5,B4,D4,B3,r,r,r,r,r,D5,B3,D3,G2,G1
55.0,14.0833,20,1.0,r,r,r,r,r,r,r,r,G4,G4,r,r,r,r,r,r,r,r
56.0,14.2917,20,2.0,r,r,r,r,r,r,r,r,G4,G4,r,r,r,r,r,r,r,r
57.0,14.5,20,3.0,r,r,r,r,r,r,r,r,G4,G4,r,r,r,r,r,r,r,r
58.0,14.7083,21,1.0,r,r,r,r,r,r,r,r,G4,G4,r,r,r,G4,E-4,C4,C3,C2
61.0,15.3333,22,1.0,r,r,r,r,r,r,r,r,G4,G4,r,r,r,G4,F4,B3,D3,D2
62.0,15.5417,22,2.0,r,r,r,r,r,r,r,r,G4,G4,r,r,r,r,r,r,r,r
63.0,15.75,22,3.0,r,r,r,r,r,r,r,r,G4,G4,r,r,r,r,r,r,r,r
64.0,15.9583,23,1.0,r,r,r,r,r,r,r,r,G4,G4,r,r,r,G4,E-4,C4,E-3,E-2
67.0,16.5833,24,1.0,r,r,r,r,r,r,r,r,G4,G4,r,r,r,G4,F4,D4,B2,B1
68.0,16.7917,24,2.0,r,r,r,r,r,r,r,r,G4,G4,r,r,r,r,r,r,r,r
69.0,17.0,24,3.0,r,r,r,r,r,r,r,r,G4,G4,r,r,r,r,r,r,r,r
70.0,17.2083,25,1.0,r,r,r,r,r,r,r,r,G4,E-4,r,r,r,G4,E-4,C4,C3,C2
