qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe  2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,3.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,C5,C4,r,r
1.0,0.1852,2,1.0,r,r,r,r,r,r,r,r,r,r,r,r,F5,F5,F4,r,r
2.0,0.3704,2,2.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,C5,C4,r,r
3.0,0.5556,2,3.0,r,r,r,r,r,r,r,r,r,r,r,r,D5,D5,D4,r,r
4.0,0.7407,3,1.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,C5,C4,r,r
5.0,0.9259,3,2.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A3,r,r
6.0,1.1111,3,3.0,r,r,r,r,r,r,r,r,r,r,r,r,B-4,B-4,B-3,r,r
7.0,1.2963,4,1.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A3,r,r
8.0,1.4815,4,2.0,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F3,r,r
9.0,1.6667,4,3.0,r,r,r,r,r,r,r,r,r,r,r,r,G4,G4,G3,r,r
10.0,1.8519,5,1.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A3,r,r
11.0,2.037,5,2.0,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F3,r,r
12.0,2.2222,5,3.0,r,r,r,r,r,r,r,r,r,r,r,r,G4,G4,G3,G3,r
13.0,2.4074,6,1.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A3,A3,r
14.0,2.5926,6,2.0,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F4,F3,r
15.0,2.7778,6,3.0,r,r,r,r,r,r,r,r,r,r,r,r,G4,G4,G4,G3,r
16.0,2.963,7,1.0,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F4,F3,r
17.0,3.1481,7,2.0,r,r,r,r,r,r,r,r,r,r,r,r,D4,D4,D4,D3,r
18.0,3.3333,7,3.0,r,r,r,r,r,r,r,r,r,r,r,r,E4,E4,E4,E3,E2
19.0,3.5185,8,1.0,r,r,r,r,r,r,r,r,r,r,r,r,D4,D4,D4,D3,D2
20.0,3.7037,8,2.0,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
21.0,3.8889,8,3.0,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
22.0,4.0741,9,1.0,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
24.0,4.4444,9,3.0,A4,r,r,r,r,r,A3,A2,r,r,r,r,A4,A3,A3,A2,A1
25.0,4.6296,10,1.0,D5,r,r,r,r,r,D4,D3,r,r,r,r,D5,D4,D3,D3,D2
27.0,5.0,10,3.0,F#5,r,r,r,r,r,D4,D3,r,r,r,r,F#5,F#4,F#3,r,r
28.0,5.1852,11,1.0,A5,r,r,r,r,r,D4,D3,r,r,r,r,A5,A4,A3,D3,D2
29.0,5.3704,11,2.0,F#5,r,r,r,r,r,D4,D3,r,r,r,r,F#5,F#4,F#3,r,r
30.0,5.5556,11,3.0,F#5,r,r,r,r,r,D4,D3,r,r,r,r,F#5,F#4,F#3,r,r
31.0,5.7407,12,1.0,A5,r,r,r,r,r,D4,D3,r,r,r,r,A5,A4,A3,D3,D2
32.0,5.9259,12,2.0,C#6,r,r,r,r,r,D4,D3,r,r,r,r,C#6,C#5,C#4,r,r
33.0,6.1111,12,3.0,D6,r,r,r,r,r,D4,D3,r,r,r,r,D6,D5,D4,r,r
33.5,6.2037,12,3.5,B5,r,r,r,r,r,D4,D3,r,r,r,r,B5,B4,B3,r,r
34.0,6.2963,13,1.0,A5,r,r,r,r,r,D4,D3,r,r,r,r,A5,A4,A3,D3,D2
36.0,6.6667,13,3.0,C#6,r,r,r,r,r,D4,D3,r,r,r,r,C#6,C#5,C#4,r,r
37.0,6.8519,14,1.0,D6,r,r,r,r,r,D4,D3,r,r,r,r,D6,D5,D4,D3,D2
38.0,7.037,14,2.0,A5,r,F#5,r,r,r,D4,D3,r,r,r,r,A5,A4,A3,r,r
39.0,7.2222,14,3.0,B5,r,G5,r,r,r,D4,D3,r,r,r,r,B5,B4,B3,r,r
40.0,7.4074,15,1.0,A5,r,F#5,r,r,r,D4,D3,r,r,r,r,A5,A4,A3,D3,D2
41.0,7.5926,15,2.0,F#5,r,D5,r,r,r,D4,D3,r,r,r,r,F#5,F#4,A4,r,r
42.0,7.7778,15,3.0,G5,r,D5,r,r,r,D4,D3,r,r,r,r,G5,G4,B4,r,r
43.0,7.963,16,1.0,F#5,r,D5,r,r,r,D4,D3,r,r,r,r,F#5,F#4,A4,D3,D2
44.0,8.1481,16,2.0,D5,r,D5,r,r,r,D4,D3,r,r,r,r,D5,D4,F#4,r,r
45.0,8.3333,16,3.0,F#5,r,C#5,r,r,r,C#4,A2,r,r,r,r,F#5,F#4,A4,A2,A1
45.5,8.4259,16,3.5,E5,r,C#5,r,r,r,C#4,A2,r,r,r,r,E5,E4,A4,A2,A1
46.0,8.5185,17,1.0,D5,r,D5,r,r,r,D4,D3,r,r,r,r,D5,D4,D4,D3,D2
48.0,8.8889,17,3.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,C5,C4,r,r
