qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,English Horn,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,Tenor Trombone 1,Tenor Trombone 2,Bass Trombone,Tuba,"B, D, E Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,G3,B2,E2
0.5,0.1667,1,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,G3,B2,E2
1.0,0.3333,1,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,G3,B2,E2
1.5,0.5,1,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,G3,C3,E2
2.0,0.6667,1,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,G3,B2,E2
2.5,0.8333,1,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,G3,C3,E2
3.0,1.0,2,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,G3,B2,E2
4.5,1.5,2,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G3,B-2,E2
5.0,1.6667,2,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,G3,B2,E2
5.5,1.8333,2,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G3,B-2,E2
6.0,2.0,3,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,G3,A2,E2
7.0,2.3333,3,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,G3,B-2,E2
7.25,2.4167,3,1.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,G3,B-2,E2
7.5,2.5,3,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,G3,A2,E2
8.5,2.8333,3,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G3,B-2,E2
8.75,2.9167,3,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G3,B-2,E2
9.0,3.0,4,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,G3,B2,E2
9.5,3.1667,4,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,F#3,C3,E2
10.0,3.3333,4,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,F3,C#3,E2
10.5,3.5,4,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#3,E3,D3,E2
11.0,3.6667,4,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,F#3,C3,E2
11.5,3.8333,4,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,G#3,B2,E2
12.0,4.0,5,1.0,E4,r,r,r,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,A3,A3,C3,E2
12.5,4.1667,5,1.3333,E4,r,r,r,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,A3,A3,C3,E2
13.0,4.3333,5,1.6667,E4,r,r,r,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,A3,A3,C3,E2
13.5,4.5,5,2.0,E-4,r,r,r,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,A3,A3,B2,E2
14.0,4.6667,5,2.3333,E4,r,r,r,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,A3,A3,C3,E2
14.5,4.8333,5,2.6667,E-4,r,r,r,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,A3,A3,B2,E2
15.0,5.0,6,1.0,E4,r,r,r,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,A3,A3,C3,E2
16.5,5.5,6,2.0,F4,r,r,r,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,A3,A3,C#3,E2
17.0,5.6667,6,2.3333,E4,r,r,r,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,A3,A3,C3,E2
17.5,5.8333,6,2.6667,F4,r,r,r,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,A3,A3,C#3,E2
18.0,6.0,7,1.0,F#4,r,r,r,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,A3,A3,D3,E2
18.5,6.1667,7,1.3333,F#4,r,r,r,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,A3,A3,E-3,E2
19.0,6.3333,7,1.6667,G4,r,r,r,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,A3,A3,E3,E2
19.25,6.4167,7,1.8333,G4,r,r,r,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,A3,A3,E3,E2
19.5,6.5,7,2.0,F#4,r,r,r,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,A3,A3,E-3,E2
